classe_age,0-4,5-10,11-14,15-20,21-30,31-40,41-50,51-60,61-70,71-80,>80,Count_ind
18-20,0.012195121951219513,0.0,0.012195121951219513,0.17073170731707318,0.25609756097560976,0.15853658536585366,0.2073170731707317,0.2682926829268293,0.024390243902439025,0.012195121951219513,0.0,82
21-25,0.004514672686230248,0.020316027088036117,0.004514672686230248,0.03160270880361174,0.4108352144469526,0.48306997742663654,0.435665914221219,0.22573363431151242,0.05869074492099323,0.03160270880361174,0.006772009029345372,443
26-30,0.014669926650366748,0.007334963325183374,0.0012224938875305623,0.006112469437652812,0.2628361858190709,0.4779951100244499,0.3215158924205379,0.18581907090464547,0.05134474327628362,0.011002444987775062,0.006112469437652812,818
31-35,0.036312849162011177,0.023277467411545624,0.0074487895716946,0.021415270018621976,0.19925512104283055,0.5027932960893855,0.39757914338919925,0.1601489757914339,0.08286778398510242,0.017690875232774673,0.002793296089385475,1074
36-40,0.028954802259887006,0.018361581920903956,0.01059322033898305,0.00423728813559322,0.17019774011299435,0.509180790960452,0.4081920903954802,0.1885593220338983,0.0826271186440678,0.038135593220338986,0.014830508474576272,1416
41-45,0.014594279042615295,0.02276707530647986,0.012259194395796848,0.005837711617046118,0.16228838295388207,0.344424985405721,0.4121424401634559,0.17046117921774664,0.05487448920023351,0.023350846468184472,0.008756567425569177,1713
46-50,0.017164653528289893,0.013986013986013986,0.017800381436745075,0.017164653528289893,0.16274634456452639,0.3242212333121424,0.4443738080101716,0.1856325492689129,0.06675143038779402,0.04450095359186268,0.013986013986013986,1573
51-55,0.006460875807609476,0.01148600143575018,0.01148600143575018,0.00933237616654702,0.1658291457286432,0.2814070351758794,0.33237616654702085,0.24694903086862885,0.0624551328068916,0.019382627422828428,0.01722900215362527,1393
56-60,0.019154030327214685,0.014365522745411013,0.0039904229848363925,0.007182761372705506,0.13886671987230648,0.2569832402234637,0.3280127693535515,0.26256983240223464,0.07741420590582601,0.023942537909018357,0.0335195530726257,1253
61-65,0.013617021276595745,0.013617021276595745,0.005957446808510639,0.011063829787234043,0.13702127659574467,0.2561702127659575,0.2578723404255319,0.21617021276595744,0.0902127659574468,0.03234042553191489,0.030638297872340424,1175
66-70,0.014223194748358862,0.005470459518599562,0.006564551422319475,0.0032822757111597373,0.08315098468271334,0.1838074398249453,0.3161925601750547,0.21334792122538293,0.10175054704595186,0.06236323851203501,0.036105032822757115,914
71-75,0.014844804318488529,0.009446693657219974,0.008097165991902834,0.0,0.0620782726045884,0.2253711201079622,0.3157894736842105,0.18218623481781376,0.1106612685560054,0.0931174089068826,0.016194331983805668,741
76-80,0.003875968992248062,0.0,0.0,0.007751937984496124,0.09689922480620156,0.17829457364341086,0.36046511627906974,0.2364341085271318,0.1821705426356589,0.1744186046511628,0.023255813953488372,258
81-85,0.0,0.0,0.0,0.0,0.14285714285714285,0.22448979591836735,0.2857142857142857,0.24489795918367346,0.04081632653061224,0.11224489795918367,0.07142857142857142,98
86-90,0.0,0.0,0.0,0.0,0.06451612903225806,0.12903225806451613,0.4838709677419355,0.3225806451612903,0.12903225806451613,0.03225806451612903,0.0967741935483871,31
>90,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.0,0.0,5
