classe_age,0-4,5-10,11-14,15-20,21-30,31-40,41-50,51-60,61-70,71-80,>80,Count_ind
18-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21-25,0.0,0.0,0.0,0.0,0.9411764705882353,0.5294117647058824,0.47058823529411764,0.058823529411764705,0.0,0.0,0.0,17.0
26-30,0.0,0.0,0.0,0.07142857142857142,0.35714285714285715,0.8214285714285714,0.5357142857142857,0.25,0.07142857142857142,0.03571428571428571,0.07142857142857142,28.0
31-35,0.0,0.0,0.0,0.08,0.64,0.76,0.88,0.36,0.24,0.0,0.0,25.0
36-40,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.2608695652173913,0.0,0.0,0.0,0.0,23.0
41-45,0.0,0.0,0.0,0.0,0.2413793103448276,0.6896551724137931,0.6206896551724138,0.3448275862068966,0.06896551724137931,0.034482758620689655,0.0,29.0
46-50,0.0,0.038461538461538464,0.0,0.15384615384615385,0.15384615384615385,0.6153846153846154,0.34615384615384615,0.23076923076923078,0.11538461538461539,0.0,0.0,26.0
51-55,0.0,0.0,0.0,0.0,0.047619047619047616,0.3333333333333333,1.0952380952380953,0.14285714285714285,0.0,0.0,0.0,21.0
56-60,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.0,0.0,0.0,11.0
61-65,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,6.0
66-70,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,7.0
71-75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0
76-80,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.3333333333333333,0.0,6.0
81-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
86-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
>90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
