age.group,contact.age.group,contacts
"[0,5)","[0,5)",NA
"[0,5)","[5,18)",NA
"[0,5)","[18,30)",NA
"[0,5)","[30,40)",NA
"[0,5)","[40,50)",NA
"[0,5)","[50,60)",NA
"[0,5)","[60,70)",NA
"[0,5)",70+,NA
"[5,18)","[0,5)",NA
"[5,18)","[5,18)",NA
"[5,18)","[18,30)",NA
"[5,18)","[30,40)",NA
"[5,18)","[40,50)",NA
"[5,18)","[50,60)",NA
"[5,18)","[60,70)",NA
"[5,18)",70+,NA
"[18,30)","[0,5)",0.3
"[18,30)","[5,18)",2.52
"[18,30)","[18,30)",5.52
"[18,30)","[30,40)",3.13
"[18,30)","[40,50)",3.41
"[18,30)","[50,60)",2.69
"[18,30)","[60,70)",0.62
"[18,30)",70+,0.39
"[30,40)","[0,5)",0.78
"[30,40)","[5,18)",3.83
"[30,40)","[18,30)",3.56
"[30,40)","[30,40)",5.48
"[30,40)","[40,50)",5.07
"[30,40)","[50,60)",3.3
"[30,40)","[60,70)",1.46
"[30,40)",70+,0.81
"[40,50)","[0,5)",0.29
"[40,50)","[5,18)",1.95
"[40,50)","[18,30)",3.39
"[40,50)","[30,40)",4.15
"[40,50)","[40,50)",5.51
"[40,50)","[50,60)",3.56
"[40,50)","[60,70)",1.77
"[40,50)",70+,1.53
"[50,60)","[0,5)",0.73
"[50,60)","[5,18)",0.97
"[50,60)","[18,30)",2.88
"[50,60)","[30,40)",3.03
"[50,60)","[40,50)",3.46
"[50,60)","[50,60)",3.8
"[50,60)","[60,70)",1.64
"[50,60)",70+,1.12
"[60,70)","[0,5)",0.23
"[60,70)","[5,18)",0.68
"[60,70)","[18,30)",0.92
"[60,70)","[30,40)",1.59
"[60,70)","[40,50)",1.7
"[60,70)","[50,60)",1.61
"[60,70)","[60,70)",1.96
"[60,70)",70+,1.25
70+,"[0,5)",0.22
70+,"[5,18)",0.3
70+,"[18,30)",0.99
70+,"[30,40)",0.99
70+,"[40,50)",1.3
70+,"[50,60)",1.02
70+,"[60,70)",1.07
70+,70+,1.86
