part_id,cont_id,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_age_est_min,cnt_age_est_max,cnt_age_exact
1293001,129300001,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5,1,4,NA
1293002,129300002,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5,1,4,NA
1343302,134330001,F,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,1,4,NA
1341001,134100001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,3,1,4,NA
1278505,127850001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,3,1,4,NA
1215201,121520001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,5,1,4,NA
1278502,127850002,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,5,1,4,NA
1352901,135290001,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,NA,5,1,4,NA
1254501,125450001,F,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,2,4,1,4,NA
1278506,127850003,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,1,3,1,4,NA
1290901,129090001,F,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,2,5,1,4,NA
1266902,126690001,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4,1,4,NA
1215202,121520002,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,5,1,4,NA
1259308,125930001,F,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,4,1,4,NA
1216202,121620001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,1,4,NA
1233905,123390001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1259303,125930002,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1257004,125700001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,4,1,4,NA
1233901,123390002,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1262106,126210001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1314201,131420001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1314201,131420002,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1211908,121190001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1259301,125930003,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1259301,125930004,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1278306,127830001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1285301,128530001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1242602,124260001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1285302,128530002,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1314204,131420003,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1314204,131420004,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1314205,131420005,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1314205,131420006,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,4,NA
1285304,128530003,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5,1,4,NA
1289501,128950001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5,1,4,NA
1237201,123720001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5,1,4,NA
1254801,125480001,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5,1,4,NA
1254801,125480002,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5,1,4,NA
