hh_id,hh_type
HH1200101,Couple with no children
HH1200201,Couple with independent children only
HH1200301,Couple with no children
HH1200401,Couple with no children
HH1200501,Couple with independent children only
HH1200601,Couple with independent children only
HH1200701,Couple with no children
HH1200801,Couple with no children
HH1200901,NA
HH1201001,NA
HH1201101,Couple with no children
HH1201201,Couple with independent children only
HH1201301,Couple with independent children only
HH1201401,Couple with no children
HH1201501,Couple with dependent children
HH1201601,Couple with no children
HH1201701,Couple with no children
HH1201801,Couple with no children
HH1201901,Couple with independent children only
HH1202001,NA
HH1202101,Couple with independent children only
HH1202201,Couple with dependent children
HH1202301,Couple with no children
HH1202401,Couple with no children
HH1202501,NA
HH1202601,Couple with independent children only
HH1202701,Couple with independent children only
HH1202801,Couple with independent children only
HH1202901,NA
HH1203001,Couple with independent children only
HH1203101,Couple with independent children only
HH1203201,Couple with no children
HH1203301,Couple with independent children only
HH1203401,Couple with no children
HH1203501,NA
HH1203601,Couple with independent children only
HH1203701,Lone parent with independent children only
HH1203801,Couple with no children
HH1203901,Couple with no children
HH1204001,Couple with no children
HH1204101,Couple with independent children only
HH1204201,Couple with dependent children
HH1204301,Couple with independent children only
HH1204401,Couple with no children
HH1204501,Couple with dependent children
HH1204601,Couple with dependent children
HH1204701,Couple with no children
HH1204801,NA
HH1204901,Couple with no children
HH1205001,NA
HH1205101,NA
HH1205201,Couple with independent children only
HH1205301,NA
HH1205401,Couple with no children
HH1205501,Couple with no children
HH1205601,Couple with dependent children
HH1205701,Couple with independent children only
HH1205801,NA
HH1205901,NA
HH1206001,NA
HH1206101,Couple with independent children only
HH1206201,Couple with dependent children
HH1206301,Couple with no children
HH1206401,Couple with dependent children
HH1206501,Couple with dependent children
HH1206601,NA
HH1206701,Couple with independent children only
HH1206801,Couple with no children
HH1206901,Couple with dependent children
HH1207001,Couple with no children
HH1207101,Couple with dependent children
HH1207201,Couple with no children
HH1207301,NA
HH1207401,NA
HH1207501,Lone parent with dependent children
HH1207601,Couple with independent children only
HH1207701,Couple with dependent children
HH1207801,NA
HH1207901,NA
HH1208001,Lone parent with dependent children
HH1208101,Lone parent with independent children only
HH1208201,Lone parent with dependent children
HH1208301,Couple with dependent children
HH1208401,Couple with independent children only
HH1208501,NA
HH1208601,Couple with no children
HH1208701,Couple with independent children only
HH1208801,NA
HH1208901,Couple with no children
HH1209001,Couple with no children
HH1209101,Couple with independent children only
HH1209201,NA
HH1209301,Other
HH1209401,Couple with dependent children
HH1209501,Couple with independent children only
HH1209601,NA
HH1209701,Couple with no children
HH1209801,Couple with independent children only
HH1209901,Couple with no children
HH1210001,Couple with dependent children
HH1210101,Couple with no children
HH1210201,Couple with dependent children
HH1210301,Couple with no children
HH1210401,NA
HH1210501,Couple with independent children only
HH1210601,Couple with dependent children
HH1210701,Couple with no children
HH1210801,NA
HH1210901,Couple with independent children only
HH1211001,NA
HH1211101,Couple with independent children only
HH1211201,Couple with dependent children
HH1211301,Couple with dependent children
HH1211401,NA
HH1211501,Couple with no children
HH1211601,Couple with no children
HH1211701,NA
HH1211801,NA
HH1211901,Couple with dependent children
HH1212001,Couple with dependent children
HH1212101,Couple with no children
HH1212201,Couple with dependent children
HH1212301,Couple with independent children only
HH1212401,Couple with dependent children
HH1212501,Couple with independent children only
HH1212601,Couple with no children
HH1212701,Couple with independent children only
HH1212801,Couple with no children
HH1212901,Couple with no children
HH1213001,NA
HH1213101,Couple with dependent children
HH1213201,NA
HH1213301,Couple with dependent children
HH1213401,NA
HH1213501,Lone parent with independent children only
HH1213601,Couple with independent children only
HH1213701,Couple with independent children only
HH1213801,Couple with no children
