Country,Week,Setting,Variable,Category,Mean,SE,Q25,Q50,Q75
BE,W14,1-Overall,Sex,Females,2.579144255,0.150643618,1,2,3
BE,W14,1-Overall,Sex,Males,3.167186298,0.300452548,1,2,4
BE,W14,1-Overall,Age group,18-29y,3.35858554,0.383745442,1,3,4
BE,W14,1-Overall,Age group,30-39y,4.435735421,0.70550115,1,2.761096528,5
BE,W14,1-Overall,Age group,40-49y,3.672282803,0.343385354,1,3,4
BE,W14,1-Overall,Age group,50-59y,2.852556987,0.413991282,1,1.720896134,3
BE,W14,1-Overall,Age group,60y+,1.621667285,0.126871234,0,1,2
BE,W14,1-Overall,HH size,1p,1.616177549,0.234519716,0,1,2
BE,W14,1-Overall,HH size,2p,2.369136653,0.239990926,1,1,3
BE,W14,1-Overall,HH size,3p,4.051311382,0.466295371,2,2,4
BE,W14,1-Overall,HH size,4p,4.131853859,0.350413475,3,3,5
BE,W14,1-Overall,HH size,5p,5.003717438,0.691728317,4,4,6
BE,W14,1-Overall,HH size,6p+,1.800507566,0.655732534,0,1,3
BE,W14,2-Home,Sex,Females,1.325275426,0.050693469,0,1,2
BE,W14,2-Home,Sex,Males,1.355527816,0.096248131,0,1,2
BE,W14,2-Home,Age group,18-29y,1.888151898,0.140608435,1,2,3
BE,W14,2-Home,Age group,30-39y,1.546321309,0.151069516,1,1,2
BE,W14,2-Home,Age group,40-49y,1.913818426,0.134296876,1,2,3
BE,W14,2-Home,Age group,50-59y,1.170258416,0.090916692,0,1,2
BE,W14,2-Home,Age group,60y+,0.763492884,0.047796233,0,1,1
BE,W14,2-Home,HH size,1p,0.417242535,0.050942535,0,0,1
BE,W14,2-Home,HH size,2p,1.009214615,0.044780273,1,1,1
BE,W14,2-Home,HH size,3p,1.898169198,0.09064065,2,2,2
BE,W14,2-Home,HH size,4p,2.771355107,0.122234046,3,3,4
BE,W14,2-Home,HH size,5p,3.261177473,0.293110637,4,4,4
BE,W14,2-Home,HH size,6p+,1.288262666,0.568028007,0,0,2
BE,W14,3-School,Sex,Females,0,0,0,0,0
BE,W14,3-School,Sex,Males,0,0,0,0,0
BE,W14,3-School,Age group,18-29y,0,0,0,0,0
BE,W14,3-School,Age group,30-39y,0,0,0,0,0
BE,W14,3-School,Age group,40-49y,0,0,0,0,0
BE,W14,3-School,Age group,50-59y,0,0,0,0,0
BE,W14,3-School,Age group,60y+,0,0,0,0,0
BE,W14,3-School,HH size,1p,0,0,0,0,0
BE,W14,3-School,HH size,2p,0,0,0,0,0
BE,W14,3-School,HH size,3p,0,0,0,0,0
BE,W14,3-School,HH size,4p,0,0,0,0,0
BE,W14,3-School,HH size,5p,0,0,0,0,0
BE,W14,3-School,HH size,6p+,0,0,0,0,0
BE,W14,4-Work,Sex,Females,0.896449329,0.142214034,0,0,0
BE,W14,4-Work,Sex,Males,1.330455016,0.305901843,0,0,0
BE,W14,4-Work,Age group,18-29y,0.957482696,0.345152612,0,0,0
BE,W14,4-Work,Age group,30-39y,2.581019645,0.730919259,0,0,0.755497219
BE,W14,4-Work,Age group,40-49y,1.958646882,0.491395974,0,0,1
BE,W14,4-Work,Age group,50-59y,1.201383046,0.333415999,0,0,0
BE,W14,4-Work,Age group,60y+,0.187825036,0.073544261,0,0,0
BE,W14,4-Work,HH size,1p,0.658007662,0.216460187,0,0,0
BE,W14,4-Work,HH size,2p,1.038719552,0.267096256,0,0,0
BE,W14,4-Work,HH size,3p,1.462600753,0.435873772,0,0,0
BE,W14,4-Work,HH size,4p,1.087531674,0.33826042,0,0,0
BE,W14,4-Work,HH size,5p,1.024646106,0.476643405,0,0,0
BE,W14,4-Work,HH size,6p+,2.246258401,1.986038586,0,0,0
BE,W14,5-Community,Sex,Females,0.61190748,0.050189147,0,0,1
BE,W14,5-Community,Sex,Males,0.720254352,0.092776161,0,0,1
BE,W14,5-Community,Age group,18-29y,0.599053812,0.106397527,0,0,1
BE,W14,5-Community,Age group,30-39y,0.580703544,0.13441905,0,0,1
BE,W14,5-Community,Age group,40-49y,0.635158109,0.13184497,0,0,0
BE,W14,5-Community,Age group,50-59y,0.635231587,0.111593897,0,0,1
BE,W14,5-Community,Age group,60y+,0.747443058,0.084956893,0,0,1
