RespondentID,agecat,household_N,conversation_N,language,conv_no_mask,date,natcat,place_of_contact
11445780481,45-54,3,1,FR,,25-Mar-20,,
11446201511,35-44,4,1,FR,,25-Mar-20,,
11446260877,55-64,2,0,FR,,25-Mar-20,,
11446561065,35-44,2,0,FR,,25-Mar-20,,
11446587644,35-44,3,10 ou plus,FR,,25-Mar-20,,
11446634877,35-44,2,10 ou plus,FR,,25-Mar-20,,
11447400997,55-64,1,0,FR,,26-Mar-20,,
11447401374,45-54,1,5,FR,,26-Mar-20,,
11447416050,35-44,3,0,FR,,26-Mar-20,,
11447420043,45-54,0,0,FR,,26-Mar-20,,
11447425485,35-44,4,0,FR,,26-Mar-20,,
11447428567,45-54,0,0,FR,,26-Mar-20,,
11447465700,45-54,3,2,FR,,26-Mar-20,,
11447466882,35-44,4,0,FR,,26-Mar-20,,
11447488969,25-34,2,10 ou plus,FR,,26-Mar-20,,
11447503545,55-64,1,0,FR,,26-Mar-20,,
11447506473,45-54,1,4,FR,,26-Mar-20,,
11447514207,35-44,4,0,FR,,26-Mar-20,,
11447517787,35-44,3,0,FR,,26-Mar-20,,
11447520571,25-34,0,0,FR,,26-Mar-20,,
11447524431,65-74,1,5,FR,,26-Mar-20,,
11447540604,25-34,2,0,FR,,26-Mar-20,,
11447540855,45-54,2,0,FR,,26-Mar-20,,
11447544765,45-54,3,0,FR,,26-Mar-20,,
11447546649,55-64,4,0,FR,,26-Mar-20,,
11447547503,45-54,2,0,FR,,26-Mar-20,,
11447548145,35-44,2,0,FR,,26-Mar-20,,
11447548913,35-44,4,3,FR,,26-Mar-20,,
11447553940,45-54,3,3,FR,,26-Mar-20,,
11447554656,45-54,2,0,FR,,26-Mar-20,,
11447559144,25-34,0,1,FR,,26-Mar-20,,
11447560343,45-54,4,3,FR,,26-Mar-20,,
11447565589,45-54,3,0,FR,,26-Mar-20,,
11447566078,55-64,1,0,FR,,26-Mar-20,,
11447566873,55-64,5 ou plus,9-Jun,FR,,26-Mar-20,,
11447567038,45-54,2,0,FR,,26-Mar-20,,
11447567097,25-34,0,0,FR,,26-Mar-20,,
11447567585,45-54,3,9-Jun,FR,,26-Mar-20,,
11447570647,45-54,1,0,FR,,26-Mar-20,,
11447571659,35-44,2,0,FR,,26-Mar-20,,
11447575363,35-44,4,0,FR,,26-Mar-20,,
11447576254,45-54,3,3,FR,,26-Mar-20,,
11447577797,25-34,3,0,FR,,26-Mar-20,,
11447584313,55-64,0,0,FR,,26-Mar-20,,
11447584573,45-54,5 ou plus,0,FR,,26-Mar-20,,
11447585525,55-64,1,0,FR,,26-Mar-20,,
11447596593,35-44,2,1,FR,,26-Mar-20,,
11447598291,25-34,5 ou plus,0,FR,,26-Mar-20,,
11447598371,35-44,4,0,FR,,26-Mar-20,,
11447598637,45-54,2,0,FR,,26-Mar-20,,
11447601927,35-44,4,0,FR,,26-Mar-20,,
11447607189,45-54,4,0,FR,,26-Mar-20,,
11447607797,25-34,4,1,FR,,26-Mar-20,,
11447609756,55-64,3,0,FR,,26-Mar-20,,
11447612994,45-54,3,0,FR,,26-Mar-20,,
11447613061,55-64,2,0,FR,,26-Mar-20,,
