"part_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
1001,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,37,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,37,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,27,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,37,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,22,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,19,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,32,19,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,8,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,16,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,16,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,16,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,8,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,8,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,5,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
