"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
1001,"1001_1",1,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1001,"1001_2",27,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1002,"1002_1",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1002,"1002_2",14,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1003,"1003_1",45,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1003,"1003_2",30,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1003,"1003_3",25,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1003,"1003_4",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1005,"1005_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1005,"1005_2",20,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1005,"1005_3",70,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1006,"1006_1",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1006,"1006_2",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1006,"1006_3",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1006,"1006_4",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1007,"1007_1",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1007,"1007_2",13,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1007,"1007_3",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1007,"1007_4",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1008,"1008_1",5,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1008,"1008_2",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1010,"1010_1",32,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1010,"1010_2",10,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1010,"1010_3",2,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1011,"1011_1",33,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1011,"1011_2",6,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1012,"1012_1",50,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1013,"1013_1",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1013,"1013_2",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1014,"1014_1",30,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1015,"1015_1",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1015,"1015_2",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1015,"1015_3",NA,0,90,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1016,"1016_1",53,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1018,"1018_1",40,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1019,"1019_1",10,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1019,"1019_2",40,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1020,"1020_1",56,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1021,"1021_1",54,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1021,"1021_2",25,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1022,"1022_1",82,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1023,"1023_1",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1024,"1024_1",38,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1025,"1025_1",49,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1025,"1025_2",22,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1027,"1027_1",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1027,"1027_2",80,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1028,"1028_1",80,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1029,"1029_1",17,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1029,"1029_2",14,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1029,"1029_3",36,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1030,"1030_1",57,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1031,"1031_1",35,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1032,"1032_1",42,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1032,"1032_2",60,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1033,"1033_1",NA,0,90,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1033,"1033_2",NA,0,90,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1034,"1034_1",3,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1034,"1034_2",50,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1034,"1034_3",55,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,NA
1035,"1035_1",60,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1035,"1035_2",66,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,2,NA
1035,"1035_3",5,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1036,"1036_1",56,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1036,"1036_2",58,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
1036,"1036_3",30,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,NA
