"cont_id","cnt_relation","cnt_hospital"
"1001_1",1,FALSE
"1001_2",1,FALSE
"1002_1",1,FALSE
"1002_2",1,FALSE
"1003_1",1,FALSE
"1003_2",1,FALSE
"1003_3",1,FALSE
"1003_4",1,FALSE
"1005_1",1,FALSE
"1005_2",1,NA
"1005_3",1,NA
"1006_1",1,FALSE
"1006_2",1,FALSE
"1006_3",1,FALSE
"1006_4",1,FALSE
"1007_1",1,FALSE
"1007_2",1,FALSE
"1007_3",1,FALSE
"1007_4",1,FALSE
"1008_1",1,FALSE
"1008_2",1,FALSE
"1010_1",1,FALSE
"1010_2",1,FALSE
"1010_3",1,FALSE
"1011_1",1,FALSE
"1011_2",1,FALSE
"1012_1",1,NA
"1013_1",1,FALSE
"1013_2",1,FALSE
"1014_1",1,FALSE
"1015_1",1,FALSE
"1015_2",1,FALSE
"1015_3",1,FALSE
"1016_1",1,FALSE
"1018_1",1,FALSE
"1019_1",1,FALSE
"1019_2",1,NA
"1020_1",1,FALSE
"1021_1",1,FALSE
"1021_2",1,FALSE
"1022_1",NA,NA
"1023_1",1,FALSE
"1024_1",2,FALSE
"1025_1",NA,NA
"1025_2",NA,NA
"1027_1",1,FALSE
"1027_2",1,FALSE
"1028_1",1,FALSE
"1029_1",1,FALSE
"1029_2",1,FALSE
"1029_3",1,FALSE
"1030_1",1,FALSE
"1031_1",1,FALSE
"1032_1",1,FALSE
"1032_2",1,FALSE
"1033_1",1,NA
"1033_2",1,NA
"1034_1",1,FALSE
"1034_2",1,FALSE
"1034_3",1,FALSE
"1035_1",1,NA
"1035_2",1,NA
"1035_3",1,FALSE
"1036_1",1,FALSE
"1036_2",1,FALSE
"1036_3",1,FALSE
"1036_4",1,FALSE
"1037_1",1,FALSE
"1039_1",1,FALSE
"1039_2",1,FALSE
"1039_3",1,FALSE
"1039_4",1,FALSE
"1040_1",1,FALSE
"1040_2",1,FALSE
"1040_3",1,FALSE
"1041_1",1,FALSE
"1041_2",1,FALSE
"1041_3",1,FALSE
"1042_1",1,FALSE
"1043_1",1,FALSE
"1043_2",1,FALSE
"1044_1",1,FALSE
"1045_1",1,FALSE
"1046_1",1,FALSE
"1046_2",3,FALSE
"1047_1",1,FALSE
"1047_2",1,FALSE
"1048_1",1,FALSE
"1048_2",1,FALSE
"1049_1",1,FALSE
"1049_2",1,FALSE
"1049_3",1,FALSE
"1049_4",1,FALSE
"1050_1",1,FALSE
"1050_2",1,FALSE
"1050_3",1,FALSE
"1050_4",1,FALSE
"1051_1",1,FALSE
"1051_2",1,FALSE
"1052_1",1,FALSE
"1052_2",1,FALSE
"1053_1",2,FALSE
"1053_2",2,FALSE
"1054_1",1,FALSE
"1055_1",1,NA
"1055_2",1,NA
"1055_3",1,NA
"1055_4",1,NA
"1055_5",2,FALSE
"1056_1",1,FALSE
"1057_1",1,FALSE
"1057_2",1,FALSE
"1058_1",1,FALSE
"1058_2",1,FALSE
"1059_1",1,FALSE
"1059_2",1,FALSE
"1059_3",1,FALSE
"1059_4",1,FALSE
"1060_1",1,FALSE
"1060_2",1,FALSE
"1061_1",1,FALSE
"1061_2",1,FALSE
"1062_1",1,FALSE
"1062_2",1,FALSE
"1063_1",1,FALSE
"1064_1",1,FALSE
"1064_2",1,FALSE
"1066_1",1,FALSE
"1067_1",1,FALSE
"1069_1",1,FALSE
"1071_1",1,FALSE
"1072_1",1,FALSE
"1072_2",1,FALSE
"1072_3",1,FALSE
"1072_4",1,FALSE
"1073_1",2,NA
"1074_1",1,FALSE
