Entity,Code,Date,stringency_index
Afghanistan,AFG,01/01/20,0
Afghanistan,AFG,01/02/20,0
Afghanistan,AFG,01/03/20,0
Afghanistan,AFG,01/04/20,0
Afghanistan,AFG,01/05/20,0
Afghanistan,AFG,01/06/20,0
Afghanistan,AFG,01/07/20,0
Afghanistan,AFG,01/08/20,0
Afghanistan,AFG,01/09/20,0
Afghanistan,AFG,01/10/20,0
Afghanistan,AFG,01/11/20,0
Afghanistan,AFG,01/12/20,0
Afghanistan,AFG,01/13/20,0
Afghanistan,AFG,01/14/20,0
Afghanistan,AFG,01/15/20,0
Afghanistan,AFG,01/16/20,0
Afghanistan,AFG,01/17/20,0
Afghanistan,AFG,01/18/20,0
Afghanistan,AFG,01/19/20,0
Afghanistan,AFG,01/20/20,0
Afghanistan,AFG,01/21/20,0
Afghanistan,AFG,01/22/20,0
Afghanistan,AFG,01/23/20,0
Afghanistan,AFG,01/24/20,0
Afghanistan,AFG,01/25/20,0
Afghanistan,AFG,01/26/20,0
Afghanistan,AFG,01/27/20,0
Afghanistan,AFG,01/28/20,0
Afghanistan,AFG,01/29/20,0
Afghanistan,AFG,01/30/20,0
Afghanistan,AFG,01/31/20,0
Afghanistan,AFG,02/01/20,0
Afghanistan,AFG,02/02/20,0
Afghanistan,AFG,02/03/20,0
Afghanistan,AFG,02/04/20,0
Afghanistan,AFG,02/05/20,0
Afghanistan,AFG,02/06/20,0
Afghanistan,AFG,02/07/20,0
Afghanistan,AFG,02/08/20,0
Afghanistan,AFG,02/09/20,0
Afghanistan,AFG,02/10/20,0
Afghanistan,AFG,02/11/20,0
Afghanistan,AFG,02/12/20,0
Afghanistan,AFG,02/13/20,0
Afghanistan,AFG,02/14/20,0
Afghanistan,AFG,02/15/20,0
Afghanistan,AFG,02/16/20,0
Afghanistan,AFG,02/17/20,0
Afghanistan,AFG,02/18/20,0
Afghanistan,AFG,02/19/20,0
Afghanistan,AFG,02/20/20,0
Afghanistan,AFG,02/21/20,0
Afghanistan,AFG,02/22/20,0
Afghanistan,AFG,02/23/20,8.33
Afghanistan,AFG,02/24/20,8.33
Afghanistan,AFG,02/25/20,8.33
Afghanistan,AFG,02/26/20,8.33
Afghanistan,AFG,02/27/20,8.33
Afghanistan,AFG,02/28/20,8.33
Afghanistan,AFG,02/29/20,8.33
Afghanistan,AFG,03/01/20,27.78
Afghanistan,AFG,03/02/20,27.78
Afghanistan,AFG,03/03/20,27.78
Afghanistan,AFG,03/04/20,27.78
Afghanistan,AFG,03/05/20,27.78
Afghanistan,AFG,03/06/20,27.78
Afghanistan,AFG,03/07/20,27.78
Afghanistan,AFG,03/08/20,27.78
Afghanistan,AFG,03/09/20,27.78
Afghanistan,AFG,03/10/20,27.78
Afghanistan,AFG,03/11/20,27.78
Afghanistan,AFG,03/12/20,27.78
Afghanistan,AFG,03/13/20,27.78
Afghanistan,AFG,03/14/20,38.89
Afghanistan,AFG,03/15/20,38.89
Afghanistan,AFG,03/16/20,38.89
Afghanistan,AFG,03/17/20,38.89
Afghanistan,AFG,03/18/20,41.67
Afghanistan,AFG,03/19/20,41.67
Afghanistan,AFG,03/20/20,41.67
Afghanistan,AFG,03/21/20,41.67
Afghanistan,AFG,03/22/20,41.67
Afghanistan,AFG,03/23/20,41.67
Afghanistan,AFG,03/24/20,50.93
Afghanistan,AFG,03/25/20,59.26
Afghanistan,AFG,03/26/20,59.26
Afghanistan,AFG,03/27/20,59.26
Afghanistan,AFG,03/28/20,67.59
Afghanistan,AFG,03/29/20,67.59
Afghanistan,AFG,03/30/20,67.59
Afghanistan,AFG,03/31/20,67.59
Afghanistan,AFG,04/01/20,67.59
Afghanistan,AFG,04/02/20,67.59
Afghanistan,AFG,04/03/20,67.59
Afghanistan,AFG,04/04/20,67.59
Afghanistan,AFG,04/05/20,78.7
Afghanistan,AFG,04/06/20,78.7
Afghanistan,AFG,04/07/20,78.7
Afghanistan,AFG,04/08/20,78.7
Afghanistan,AFG,04/09/20,78.7
Afghanistan,AFG,04/10/20,78.7
Afghanistan,AFG,04/11/20,78.7
Afghanistan,AFG,04/12/20,84.26
Afghanistan,AFG,04/13/20,84.26
Afghanistan,AFG,04/14/20,84.26
Afghanistan,AFG,04/15/20,84.26
Afghanistan,AFG,04/16/20,84.26
Afghanistan,AFG,04/17/20,84.26
