"","week","BEL","CHN","DEU","FRA","GBR","GRC","ITA","KEN","LUX","NLD","USA","week1"
"1",1,0,1.5,0,0,0,0,0,0,0,0,0,2020-01-22
"2",2,0,3,0,0,0,0,0,0,0,0,0,2020-02-05
"3",3,0,3,0,0,0,0,1.42857142857143,0,0,0,0,2020-02-19
"4",4,0,3,0.642857142857143,0.142857142857143,0.357142857142857,0,2,0,0.142857142857143,0.857142857142857,0.428571428571429,2020-03-04
"5",5,2,3,1.78571428571429,2,1.71428571428571,1.28571428571429,2.85714285714286,0.714285714285714,2,1.64285714285714,2,2020-03-18
"6",6,2,2,2,2,2,2,2.64285714285714,2.64285714285714,2,2,2,2020-04-01
"7",7,2,1,2,2,2,2,2,3,1.35714285714286,2,2,2020-04-15
"8",8,2,1.42857142857143,1,1.85714285714286,2,2,1.35714285714286,3,1,1.85714285714286,2,2020-04-29
"9",9,2,3,0,1,1,2,1,3,1,1,2,2020-05-13
"10",10,1.71428571428571,3,0,1,1,1.21428571428571,1,3,1,1,2,2020-05-27
"11",11,0,3,0,0.857142857142857,1,1,1,2.92857142857143,1,1,2,2020-06-10
"12",12,0,3,0,0,1,1,1,2,1,1,2,2020-06-24
"13",13,0,3,0,0,1,1,1,2,0.571428571428571,1,1.85714285714286,2020-07-08
