"","week","BEL","CHN","DEU","FRA","GBR","GRC","ITA","KEN","LUX","NLD","USA","week1"
"1",1,0,4,0,0,0,0,0,0,0,0,0,2020-01-22
"2",2,0,4,0,0,0,0,0,0,0,0,0,2020-02-05
"3",3,0,4,0,1.14285714285714,0,0,2.85714285714286,0,0,0,0,2020-02-19
"4",4,0,4,0.571428571428571,4,0,0,4,1.42857142857143,2,1.28571428571429,0.928571428571429,2020-03-04
"5",5,4,4,3.35714285714286,4,2.57142857142857,4,4,4,4,3,3.57142857142857,2020-03-18
"6",6,4,4,4,4,4,4,4,4,4,3,4,2020-04-01
"7",7,4,4,4,4,4,4,4,4,4,3,4,2020-04-15
"8",8,4,4,4,4,4,3.42857142857143,4,4,3.85714285714286,3,4,2020-04-29
"9",9,4,4,4,4,4,3,1.42857142857143,4,3,3,4,2020-05-13
"10",10,3.85714285714286,4,4,4,4,3,0,4,3,3,4,2020-05-27
"11",11,3,4,4,4,4,3,1.28571428571429,4,3,3,4,2020-06-10
"12",12,3,4,3.92857142857143,4,4,3,2,4,0.428571428571429,2.5,4,2020-06-24
"13",13,3,4,3,4,4,3,2,4,0.642857142857143,2,4,2020-07-08
